+1	﻿+1	﻿+1	﻿+1	﻿+1	﻿+1	Sjajna mi je scena kad se Odin naljuti i pošalje Tora na zemlju. Fantastično!
+1	+1	+1	+1	+1	+1	uuu otkako se ošišala prava je cupi
-1	-M	-M	-1	-1	-1	više je volim dugokosu
-NS	-M	-1	-NS	+1	-1	težak film...
-1s	-1s	-1s	-1s	-1s	-1	Poslednji egzorcizam po 1051. put. Blago nama...
-1s	-1s	-1s	-1s	-1s	-1s	Sam naslov je neverovatno jadan i nezanimljiv... dakle, u startu obećava. :)
-1	-1	-1	-1	-1	-1	najžalosnije je to što posle gledanja filma gospođe u godinama uleću u knjižare i traže knjigu sa Dž. R????
+1	+1	+1	+1	+1	+1	Vrh serija, obožavam da je gledam... maestralno kreirani likovi, zaplet, dijalozi... ima svega, od komike do tragedije i nazad. Nema bolje.
+M	+M	+M	+M	+M	+1	serija je ludilo interesuje me da li će biti nastavka jer ove nove serije što daju su čist promašaj i jednostavno dosadne
+1	+1	+1	+1	+1	+1	odlična serija braćo!
+M	+M	-Ms	+1	+1	+1	posle dužeg vremena ova serija je uspela da zadrži moju pažnju duže od deset minuta iako je repriza ..
+M	+M	+1	+M	+1	+1	hoću nastavak i tačka. u poplavi kojekakvih gluposti ovo je jedina serija koju želim da gledam u nedogled
+1	+1	+NS	+1	+1	+1	Kome se sviđa ova serija ne sme da propusti Boardwalk Empire da vidi prave gangstere i njihove početke !
+NS	+NS	+NS	+NS	+NS	+NS	Jel zna neko sajt na kome možemo da nađemo sve epizode ? pozz
+M	+M	+M	+M	+M	+1	Predobra serija... samo šteta što Kristofer Moltisanti umire :-)
+1	+1	+1	+1	+1	+1	Nije loše!
+1	+1	+1	+1	+1	+1	Jedan od najboljih filmova u 2010. godini.
+M	+M	+M	+M	+M	+1	Najbolji film 2010. godine. Oskari potvrđuju kvalitet, ali šteta što nije osvojio Oskara za neku od glavnih kategorija.
-1	-1	-1	-1	-1	-1	Žali bože za dva i po sata života...
-M	-M	-1	-M	-M	-1	Predvidiv i zato mi se ne sviđa, kao ona čigra na kraju koja pada. Memento je ipak film koji je objasnio.
+1	+1	+1	+1	+1	+1	Fantastičan film i naravno neprevaziđeni Scorsese.
-1	-1	-1	-1	-1	-1	E moj James Berardinelli, ako ovaj film nije glorifikacija rata ja ne znam koji onda jeste. http://www.youtube.com/watch?v=5rXPrfnU3G0
-1	-1	-1	-1	-1	-1	u startu zaobilazim filmove kad znam da kutcher glumi
+1	+M	+M	+1	+M	+1	ne slažem se sa većinom navedenog u ovoj recenziji. mada nisam je ni čitao do kraja. meni je film odličan. mnogo zabavan i vizuelno privlačan, baš ono što mi je trebalo i što sam očekivao.
+M	+Ms	+M	+M	+1	+1	Je l’ ovaj normalan ? Film je odličan, jedva čekam nastavak :D
+1	+1	+1	+1	+1	+1	Išao sam u bioskop gledati ga dva puta u 3d bioskopu. Super je film i mogu reći da je bez ijedne jedine greške što još daje filmu puno pohvala svaka čast reditelju Jamesu Cameronu na strpljenju što je čekao današnju tehnologiju da ga ovako dobro napravi.
-1	-1	-M	-M	-1	-1	auuu al mu dade ocenu.
-1	-1	-1	-1	-1	-1	nula brate
-M	-M	+1	-M	+1	+1	keti poliva
+M	+M	+M	+1	+M	+1	ma nemate vi pojma, prejak film
+1	+1	+1	+1	+1	+1	Svi radovi Ghibli studija i Miyazakija pogotovo su fantastični... Smatram da je Anime daleko ispred Diznija i ostalih zapadnih stvaralaca animiranih filmova...
-1	-1	-1	-1	-1	-1	ni za šta
-1	-1	-1	-1	-1	-1	Auu brale toliko si se nalupetao u opisu ovog filma da bi poverovao onaj koji ga nije gledao....
+NS	+NS	+NS	+NS	+1	+NS	želim ga gledati
-M	-M	-1	-M	-1	+1	ČOVEČE KAD OVOM FILMU NISI DAO 6 OD 5 ONDA ...
-1	-1	-1	-1	-1	-1	DOSADAN, DOSADAN, DOSADAN.........
+1	+1	+1	+1	+1	+1	najbolji i najsmešniji film ikada
+1	+1	+1	+1	+1	+1	film je do jaja...
+1	+1	+1	+1	+1	+1	dojajski film...
-1	-1	-1	-1	-1	-1	prvi je bolji neuporedivo prvenstveno zbog glumaca..
+1	+1	+1	+1	+1	+1	Одличан текст. Хвала.
+1	+1	+1	+1	+1	+1	super film
